Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
1,Walmart,"2,200,000",-,"$514,405.00",2.80%,"$6,670.00",-32.40%,"$219,295.00","$279,880.00",2019
2,Exxon Mobil,"71,000",-,"$290,212.00",18.80%,"$20,840.00",5.70%,"$346,196.00","$342,172.00",2019
3,Apple,"132,000",1,"$265,595.00",15.90%,"$59,531.00",23.10%,"$365,725.00","$895,667.00",2019
4,Berkshire Hathaway,"389,000",-1,"$247,837.00",2.40%,"$4,021.00",-91.10%,"$707,794.00","$493,870.00",2019
5,Amazon.com,"647,500",3,"$232,887.00",30.90%,"$10,073.00",232.10%,"$162,648.00","$874,710.00",2019
6,UnitedHealth Group,"300,000",-1,"$226,247.00",12.50%,"$11,986.00",13.50%,"$152,221.00","$237,256.00",2019
7,McKesson,"68,000",-1,"$208,357.00",4.90%,$67.00,-98.70%,"$60,381.00","$22,455.00",2019
8,CVS Health,"295,000",-1,"$194,579.00",5.30%,-$594.00,-109.00%,"$196,456.00","$69,952.00",2019
9,AT&T,"268,220",-,"$170,756.00",6.40%,"$19,370.00",-34.20%,"$531,864.00","$228,445.00",2019
10,AmerisourceBergen,"20,500",2,"$167,940.00",9.70%,"$1,658.40",355.00%,"$37,670.00","$16,786.00",2019
11,Chevron,"48,600",2,"$166,339.00",23.60%,"$14,824.00",61.20%,"$253,863.00","$234,050.00",2019
12,Ford Motor,"199,000",-1,"$160,338.00",2.30%,"$3,677.00",-51.60%,"$256,540.00","$35,028.00",2019
13,General Motors,"173,000",-3,"$147,049.00",-6.50%,"$8,014.00",-,"$227,339.00","$52,292.00",2019
14,Costco Wholesale,"194,000",1,"$141,576.00",9.70%,"$3,134.00",17.00%,"$40,830.00","$106,513.00",2019
15,Alphabet,"98,771",7,"$136,819.00",23.40%,"$30,736.00",142.70%,"$232,792.00","$816,824.00",2019
16,Cardinal Health,"50,200",-2,"$136,809.00",5.30%,$256.00,-80.10%,"$39,951.00","$14,350.00",2019
17,Walgreens Boots Alliance,"299,000",2,"$131,537.00",11.30%,"$5,024.00",23.20%,"$68,124.00","$59,692.00",2019
18,JPMorgan Chase,"256,105",2,"$131,412.00",15.40%,"$32,474.00",32.90%,"$2,622,532.00","$331,452.00",2019
19,Verizon Communications,"144,500",-3,"$130,863.00",3.80%,"$15,528.00",-48.40%,"$264,829.00","$244,328.00",2019
20,Kroger,"453,000",-3,"$121,162.00",-1.20%,"$3,110.00",63.10%,"$38,118.00","$19,631.00",2019
21,General Electric,"283,000",-3,"$120,268.00",-1.60%,"-$22,355.00",-,"$309,129.00","$87,009.00",2019
22,Fannie Mae,"7,400",-1,"$120,101.00",6.90%,"$15,959.00",547.90%,"$3,418,318.00","$3,243.00",2019
23,Phillips 66,"14,200",5,"$114,217.00",24.70%,"$5,595.00",9.60%,"$54,302.00","$43,241.00",2019
24,Valero Energy,"10,261",7,"$111,407.00",26.00%,"$3,122.00",-23.20%,"$50,155.00","$35,426.00",2019
25,Bank of America,"204,489",-1,"$110,584.00",10.30%,"$28,147.00",54.40%,"$2,354,507.00","$265,939.00",2019
26,Microsoft,"131,000",4,"$110,360.00",22.70%,"$16,571.00",-21.80%,"$258,848.00","$904,861.00",2019
27,Home Depot,"413,000",-4,"$108,203.00",7.20%,"$11,121.00",28.90%,"$44,003.00","$211,828.00",2019
